STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
30;3.0s;car1;No leader;No leader;4.939999999999999;[];-60@car1-wlan1
30;3.0s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
31;3.1s;car1;No leader;No leader;5.459999999999998;[];-60@car1-wlan1
31;3.1s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
32;3.2s;car1;No leader;No leader;6.005999999999998;[];-60@car1-wlan1
32;3.2s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
33;3.3s;car1;No leader;No leader;6.577999999999998;[];-60@car1-wlan1
33;3.3s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
34;3.4s;car1;No leader;No leader;7.175999999999997;[];-60@car1-wlan1
34;3.4s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
35;3.5s;car1;No leader;No leader;7.799999999999997;[];-60@car1-wlan1
35;3.5s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
36;3.6s;car1;No leader;No leader;8.449999999999998;[];-60@car1-wlan1
36;3.6s;car2;No leader;No leader;Not initialised;[b'00:03:49.581347 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'00:03:49.642917 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n'];-60@car2-wlan1
37;3.7s;car1;No leader;No leader;9.125999999999998;[];-60@car1-wlan1
37;3.7s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
38;3.8s;car1;No leader;No leader;9.827999999999998;[];-60@car1-wlan1
38;3.8s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
39;3.9s;car1;No leader;No leader;10.555999999999997;[];-60@car1-wlan1
39;3.9s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
40;4.0s;car1;No leader;No leader;11.309999999999997;[];-60@car1-wlan1
40;4.0s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
41;4.1s;car1;No leader;No leader;12.089999999999996;[];-60@car1-wlan1
41;4.1s;car2;car1;0.48999999999999666;Not initialised;[];-60@car2-wlan1
42;4.2s;car1;No leader;No leader;12.895999999999995;[];-60@car1-wlan1
42;4.2s;car2;car1;1.269999999999996;0.0259999999999998;[];-60@car2-wlan1
43;4.3s;car1;No leader;No leader;13.727999999999994;[];-60@car1-wlan1
43;4.3s;car2;car1;2.0499999999999954;0.0779999999999994;[];-60@car2-wlan1
44;4.4s;car1;No leader;No leader;14.585999999999993;[];-60@car1-wlan1
44;4.4s;car2;car1;2.829999999999994;0.1559999999999997;[];-60@car2-wlan1
45;4.5s;car1;No leader;No leader;15.469999999999992;"[b'00:03:49.847858 EAPOL key (3) v2, len 95\n', b'..._.............T`v..T.....U....)I..HHy<p`T.......................................................\n', b'00:03:49.848170 EAPOL key (3) v1, len 117\n', b'...u..\n', b'............K...#w|Yx.F....ug.N...w...@..y................................._JY.J.9}0)Nx9c...0.....................\n', b'00:03:49.904821 EAPOL key (3) v2, len 151\n', b'.................T`v..T.....U....)I..HHy<p`T.....................\n', b'................\'.......JT.SO-..8E.E...v^...C..Qr&...R3,.......@,j""..tH...e..e.P.#.\n', b'.V.U.\n', b'00:03:49.904907 EAPOL key (3) v1, len 95\n', b'..._..\n', b'...........................................................................Ed...............\n', b'00:03:49.917372 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........m.........................\n', b'00:03:50.113606 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........i.........................\n', b'00:03:50.191870 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'00:03:50.227551 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........m.........................\n', b'00:03:50.278349 IP6 :: > ff02::1:ff00:0: ICMP6, neighbor solicitation, who has fe80::ff:fe00:0, length 32\n', b'`.... :....................................h.........................$.}\n', b'00:03:50.278897 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........i.........................\n', b'00:03:50.303522 IP6 :: > ff02::1:ff00:1: ICMP6, neighbor solicitation, who has 2001::1, length 32\n', b'`.... :...................................]B.... ....................fWP\n', b'00:03:50.675470 IP6 :: > ff02::1:ff00:200: ICMP6, neighbor solicitation, who has fe80::ff:fe00:200, length 32\n', b'`.... :...................................%..........................R..\n']";-60@car1-wlan1
45;4.5s;car2;car1;3.6099999999999923;0.2599999999999998;[b'00:03:49.927211 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........m.........................\n', b'00:03:50.113627 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........i.........................\n', b'00:03:50.191891 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'00:03:50.230397 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........m.........................\n', b'00:03:50.278380 IP6 :: > ff02::1:ff00:0: ICMP6, neighbor solicitation, who has fe80::ff:fe00:0, length 32\n', b'`.... :....................................h.........................$.}\n', b'00:03:50.278913 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........i.........................\n', b'00:03:50.303548 IP6 :: > ff02::1:ff00:1: ICMP6, neighbor solicitation, who has 2001::1, length 32\n', b'`.... :...................................]B.... ....................fWP\n', b'00:03:50.694144 IP6 :: > ff02::1:ff00:200: ICMP6, neighbor solicitation, who has fe80::ff:fe00:200, length 32\n', b'`.... :...................................%..........................R..\n'];-60@car2-wlan1
46;4.6s;car1;No leader;No leader;16.379999999999992;[];-60@car1-wlan1
46;4.6s;car2;car1;4.389999999999993;0.3899999999999997;[];-60@car2-wlan1
47;4.7s;car1;No leader;No leader;17.315999999999992;[];-60@car1-wlan1
47;4.7s;car2;car1;5.169999999999993;0.5459999999999994;[];-60@car2-wlan1
48;4.8s;car1;No leader;No leader;18.27799999999999;[];-60@car1-wlan1
48;4.8s;car2;car1;5.949999999999992;0.7279999999999998;[];-60@car2-wlan1
49;4.9s;car1;No leader;No leader;19.26599999999999;[];-60@car1-wlan1
49;4.9s;car2;car1;6.7299999999999915;0.9359999999999999;[];-60@car2-wlan1
50;5.0s;car1;No leader;No leader;20.27999999999999;[];-60@car1-wlan1
50;5.0s;car2;car1;7.509999999999991;1.17;[];-60@car2-wlan1
51;5.1s;car1;No leader;No leader;21.31999999999999;[];-60@car1-wlan1
51;5.1s;car2;car1;8.28999999999999;1.4299999999999997;[];-60@car2-wlan1
52;5.2s;car1;No leader;No leader;22.38599999999999;[];-60@car1-wlan1
52;5.2s;car2;car1;9.06999999999999;1.7159999999999993;[];-60@car2-wlan1
53;5.3s;car1;obs;69.22200000000001;23.477999999999987;[];-60@car1-wlan1
53;5.3s;car2;car1;9.849999999999987;2.0279999999999996;[];-60@car2-wlan1
54;5.4s;car1;obs;68.10400000000001;24.595999999999986;[b'00:03:50.871156 IP6 :: > ff02::1:ff00:600: ICMP6, neighbor solicitation, who has fe80::ff:fe00:600, length 32\n', b'`.... :....................................i......................e.ce.h\n', b'00:03:51.333424 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'00:03:51.333516 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'00:03:51.593370 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'00:03:51.697781 IP6 fe80::ff:fe00:200 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........n\t........................\n', b'00:03:51.698009 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n'];-60@car1-wlan1
54;5.4s;car2;car1;10.629999999999987;2.3659999999999997;[b'00:03:50.871181 IP6 :: > ff02::1:ff00:600: ICMP6, neighbor solicitation, who has fe80::ff:fe00:600, length 32\n', b'`.... :....................................i......................e.ce.h\n', b'00:03:51.333451 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'00:03:51.333529 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'00:03:51.604864 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'00:03:51.744244 IP6 fe80::ff:fe00:200 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........n\t........................\n', b'00:03:51.744308 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n'];-60@car2-wlan1
55;5.5s;car1;obs;66.96000000000002;25.739999999999984;[];-60@car1-wlan1
55;5.5s;car2;car1;11.409999999999986;2.7299999999999995;[];-60@car2-wlan1
56;5.6s;car1;obs;65.79000000000002;26.909999999999982;[];-60@car1-wlan1
56;5.6s;car2;car1;12.189999999999984;3.119999999999999;[];-60@car2-wlan1
57;5.7s;car1;obs;64.59400000000002;28.10599999999998;[];-60@car1-wlan1
57;5.7s;car2;car1;12.969999999999981;3.5359999999999996;[];-60@car2-wlan1
58;5.8s;car1;obs;63.37200000000003;29.327999999999978;[];-60@car1-wlan1
